Kinase Uniprot ID	Kinase	Score
P06239	Lck	4.031845347
P07948	Lyn	4.179305896
Q04912	Ron	5.310548369
P42685	FRK	3.484679968
P00519	Abl	3.593466706
Q06418	Tyro3/Sky	3.598849861
P12931	Src	3.507728161
P16234	PDGFR[alpha]	4.909386967
P42684	Arg	3.507990321
P06241	Fyn	4.086198863
P51451	BLK	3.728639373
Q9H3Y6	Srm	3.391411325
P54760	EphB4	4.482464631
P09769	Fgr	4.047968609
P16591	Fer	3.558429169
P42680	TEC	3.242728481
P07949	Ret	3.510355404
P42681	TXK	3.374223587
P29376	LTK	3.408830683
P07332	Fes	3.421202923
P43405	Syk	3.121125796
P08922	Ros	3.52904675
P07947	Yes	3.225367558
Q13308	CCK4/PTK7	3.562451315
P54764	EphA4	3.244635842
P08631	HCK	3.189980111
P54762	EphB1	3.167421535
P06213	InSR	2.985883563
P30530	Axl	2.963947732
P54756	EphA5	2.93242832
P42679	CTK	2.985717906
P29317	EphA2	2.796290544
P43403	ZAP70	2.912517995
P21860	HER3	2.915000829
Q08345	DDR1	2.528789422
Q12866	Mer	2.868116013
P54753	EphB3	2.612624638
P07333	FmS/CSFR	2.674790989
P08069	IGF1R	2.697560744
Q9UM73	ALK	2.806343548
Q06187	BTK	2.68045145
P51813	Etk/BMX	2.718535347
P21709	EphA1	2.219693652
Q16620	TRKB	2.567581848
O60674	JAK2	2.623475415
P08581	Met	2.726015644
P09619	PDGFR[beta]	2.577099775
P29322	EphA8	2.07156516
Q16288	TRKC	2.455319844
P10721	Kit	2.415198585
P14616	IRR	2.09752607
P41240	CSK	2.737513633
P21802	FGFR2	2.291675733
H0Y8A4	RYK	2.153607052
Q08881	ITK	2.546127773
P04629	TRKA	2.115137524
P22455	FGFR4	2.41364698
P52333	JAK3	1.543514815
P22607	FGFR3	1.826112861
Q05397	FAK1	2.60972867
Q15303	HER4	2.494358238
P23458	JAK1~b	1.527046795
P29320	EphA3	1.045951553
P11362	FGFR1	2.009796855
P36888	FLT3	1.45543104
P04626	HER2	2.323981595
P35968	KDR	1.923882826
P35916	FLT4	1.737774366
Q14289	FAK2	2.170783908
Q13882	Brk	2.331962014
P00533	EGFR	2.111711546
P17948	FLT1	1.565863045
P29323	EphB2	-0.639575544
P29597	Tyk2	0.731864675
Q15375	EphA7	-0.307660079
Q6ZMQ8	Lmr1	-0.197504295
