pkfam_index	Subgroup	Group	Uniprot_protein_human_name	Human Alias.2	Uniprot_protein_human_id	Uniprot_protein_mouse_name	Mouse Alias.2	Uniprot_protein_mouse_id	Uniprot_Gene	KRSA	UKA	PTMSEA	KEA3
386	Tyr	proteinkinasefamily	ABL1	HUMAN	P00519	ABL1	MOUSE	P00520	ABL1	ABL	Abl	Abl/ABL1	ABL1
5	AGC	Ser/Thrproteinkinasefamily	AKT1	HUMAN	P31749	AKT1	MOUSE	P31750	AKT1	AKT	Akt1/PKB[alpha]	Akt1/AKT1	AKT1
6	AGC	Ser/Thrproteinkinasefamily	AKT2	HUMAN	P31751	AKT2	MOUSE	Q60823	AKT2	AKT	Akt2/PKB[beta]	Akt2/AKT2	AKT2
388	Tyr	proteinkinasefamily	ALK	HUMAN	Q9UM73	ALK	MOUSE	P97793	ALK	ALK	ALK	ALK	ALK
352	TKL	Ser/Thrproteinkinasefamily	ARAF	HUMAN	P10398	ARAF	MOUSE	P04627	ARAF	RAF	ARAF	ARAF	ARAF
617	Atypical:	PI3/PI4-kinasefamily	ATM	HUMAN	Q13315	ATM	MOUSE	Q62388	ATM	ATM	ATM	ATM	ATM
618	Atypical:	PI3/PI4-kinasefamily	ATR	HUMAN	Q13535	ATR	MOUSE	Q9JKK8	ATR	ATR	ATR	ATR	ATR
485	Other	Other	AURKA	HUMAN	O14965	AURKA	MOUSE	P97477	AURKA	AUR	AurA/Aur2	AurA/AURKA	AURKA
486	Other	Other	AURKB	HUMAN	Q96GD4	AURKB	MOUSE	O70126	AURKB	AUR	AurB/Aur1	AurB/AURKB	AURKB
487	Other	Other	AURKC	HUMAN	Q9UQB9	AURKC	MOUSE	O88445	AURKC	AUR	AurC/Aur3	AurC/AURKC	AURKC
389	Tyr	proteinkinasefamily	UFO	HUMAN	P30530	UFO	MOUSE	Q00993	AXL	AXL	Axl	AXL	AXL
354	TKL	Ser/Thrproteinkinasefamily	BMR1B	HUMAN	O00238	BMR1B	MOUSE	P36898	BMPR1B	STKR	BMPR1B	BMPR1B	BMPR1B
391	Tyr	proteinkinasefamily	BMX	HUMAN	P51813	BMX	MOUSE	P97504	BMX	TEC	Etk/BMX	Etk/BMX	BMX
356	TKL	Ser/Thrproteinkinasefamily	BRAF	HUMAN	P15056	BRAF	MOUSE	P28028	BRAF	RAF	BRAF	BRAF	BRAF
73	CAMK	Ser/Thrproteinkinasefamily	KCC1A	HUMAN	Q14012	KCC1A	MOUSE	Q91YS8	CAMK1	CAMK1	CaMK1[alpha]	CAMK1A/CAMK1	CAMK1
76	CAMK	Ser/Thrproteinkinasefamily	KCC2A	HUMAN	Q9UQM7	KCC2A	MOUSE	P11798	CAMK2A	CAMK2	CaMK2[alpha]	CAMK2A	CAMK2A
77	CAMK	Ser/Thrproteinkinasefamily	KCC2B	HUMAN	Q13554	KCC2B	MOUSE	P28652	CAMK2B	CAMK2	CaMK2[beta]	CAMK2B	CAMK2B
78	CAMK	Ser/Thrproteinkinasefamily	KCC2D	HUMAN	Q13557	KCC2D	MOUSE	Q6PHZ2	CAMK2D	CAMK2	CaMK2[delta]	CAMK2D	CAMK2D
80	CAMK	Ser/Thrproteinkinasefamily	KCC4	HUMAN	Q16566	KCC4	MOUSE	P08414	CAMK4	CAMK1	CaMK4	CAMK4	CAMK4
491	Other	Other	KKCC1	HUMAN	Q8N5S9	KKCC1	MOUSE	Q8VBY2	CAMKK1	CAMKK	CaMK4	CAMKK1	CAMKK1
180	CMGC	Ser/Thrproteinkinasefamily	CDK1	HUMAN	P06493	CDK1	MOUSE	P11440	CDK1	CDK	CDC2/CDK1	CDK1	CDK1
192	CMGC	Ser/Thrproteinkinasefamily	CDK2	HUMAN	P24941	CDK2	MOUSE	P97377	CDK2	CDK	CDK2	CDK2	CDK2
194	CMGC	Ser/Thrproteinkinasefamily	CDK3	HUMAN	Q00526	CDK3	MOUSE	Q80YP0	CDK3	CDK	CDK3	CDK3	CDK3
195	CMGC	Ser/Thrproteinkinasefamily	CDK4	HUMAN	P11802	CDK4	MOUSE	P30285	CDK4	CDK	CDK4	CDK4	CDK4
196	CMGC	Ser/Thrproteinkinasefamily	CDK5	HUMAN	Q00535	CDK5	MOUSE	P49615	CDK5	CDK	CDK5	CDK5	CDK5
197	CMGC	Ser/Thrproteinkinasefamily	CDK6	HUMAN	Q00534	CDK6	MOUSE	Q64261	CDK6	CDK	CDK6	CDK6	CDK6
198	CMGC	Ser/Thrproteinkinasefamily	CDK7	HUMAN	P50613	CDK7	MOUSE	Q03147	CDK7	CDK	CDK7	CDK7	CDK7
199	CMGC	Ser/Thrproteinkinasefamily	CDK8	HUMAN	P49336	CDK8	MOUSE	Q8R3L8	CDK8	CDK	CDK8	CDK8	CDK8
200	CMGC	Ser/Thrproteinkinasefamily	CDK9	HUMAN	P50750	CDK9	MOUSE	Q99J95	CDK9	CDK	CDK9	CDK9	CDK9
494	Other	Other	IKKA	HUMAN	O15111	IKKA	MOUSE	Q60680	CHUK	IKK	IKK[alpha]	IKKA/CHUK	CHUK
207	CMGC	Ser/Thrproteinkinasefamily	CLK1	HUMAN	P49759	CLK1	MOUSE	P22518	CLK1	CLK	CLK1	CLK1	CLK1
208	CMGC	Ser/Thrproteinkinasefamily	CLK2	HUMAN	P49760	CLK2	MOUSE	O35491	CLK2	CLK	CLK2	CLK2	CLK2
394	Tyr	proteinkinasefamily	CSK	HUMAN	P41240	CSK	MOUSE	P41241	CSK	CSK	CSK	CSK	CSK
161	CK1	Ser/Thrproteinkinasefamily	KC1A	HUMAN	P48729	KC1A	MOUSE	Q8BK63	CSNK1A1	CK1	CK1[alpha]	CK1A/CSNK1A1	CSNK1A1
163	CK1	Ser/Thrproteinkinasefamily	KC1D	HUMAN	P48730	KC1D	MOUSE	Q9DC28	CSNK1D	CK1	CK1[delta]	CK1D/CSNK1D	CSNK1D
164	CK1	Ser/Thrproteinkinasefamily	KC1E	HUMAN	P49674	KC1E	MOUSE	Q9JMK2	CSNK1E	CK1	CK1[epsilon]	CK1E/CSNK1E	CSNK1E
495	Other	Other	CSK21	HUMAN	P68400	CSK21	MOUSE	Q60737	CSNK2A1	CK2	CK2[alpha]1	CK2A1/CSNK2A1	CSNK2A1
496	Other	Other	CSK22	HUMAN	P19784	CSK22	MOUSE	O54833	CSNK2A2	CK2	CK2[alpha]2	CK2A2/CSNK2A2	CSNK2A2
85	CAMK	Ser/Thrproteinkinasefamily	DAPK1	HUMAN	P53355	DAPK1	MOUSE	Q80YE7	DAPK1	DAPK	DAPK1	DAPK1	DAPK1
87	CAMK	Ser/Thrproteinkinasefamily	DAPK3	HUMAN	O43293	DAPK3	MOUSE	O54784	DAPK3	DAPK	DAPK3	DAPK3	DAPK3
211	CMGC	Ser/Thrproteinkinasefamily	DYR1A	HUMAN	Q13627	DYR1A	MOUSE	Q61214	DYRK1A	DYRK	DYRK1A	DYRK1A	DYRK1A
212	CMGC	Ser/Thrproteinkinasefamily	DYR1B	HUMAN	Q9Y463	DYR1B	MOUSE	Q9Z188	DYRK1B	DYRK	DYRK1B	DYRK1B	DYRK1B
213	CMGC	Ser/Thrproteinkinasefamily	DYRK2	HUMAN	Q92630	DYRK2	MOUSE	Q5U4C9	DYRK2	DYRK	DYRK2	DYRK2	DYRK2
397	Tyr	proteinkinasefamily	EGFR	HUMAN	P00533	EGFR	MOUSE	Q01279	EGFR	EGFR	EGFR	EGFR	EGFR
400	Tyr	proteinkinasefamily	EPHA2	HUMAN	P29317	EPHA2	MOUSE	Q03145	EPHA2	EPH	EphA2	EphA2/EPHA2	EPHA2
412	Tyr	proteinkinasefamily	ERBB2	HUMAN	P04626	ERBB2	MOUSE	P70424	ERBB2	EGFR	HER2	HER2/ERBB2	ERBB2
415	Tyr	proteinkinasefamily	FER	HUMAN	P16591	FER	MOUSE	P70451	FER	FER	Fer	Fer/FER	FER
417	Tyr	proteinkinasefamily	FGFR1	HUMAN	P11362	FGFR1	MOUSE	P16092	FGFR1	FGFR	FGFR1	FGFR1	FGFR1
419	Tyr	proteinkinasefamily	FGFR3	HUMAN	P22607	FGFR3	MOUSE	Q61851	FGFR3	FGFR	FGFR3	FGFR3	FGFR3
421	Tyr	proteinkinasefamily	FGR	HUMAN	P09769	FGR	MOUSE	P14234	FGR	SRC	Fgr	FGR	FGR
422	Tyr	proteinkinasefamily	VGFR1	HUMAN	P17948	VGFR1	MOUSE	P35969	FLT1	VEGFR	FLT1	VEGFR1/FLT1	FLT1
423	Tyr	proteinkinasefamily	FLT3	HUMAN	P36888	FLT3	MOUSE	Q00342	FLT3	PDGFR	FLT3	FLT3	FLT3
426	Tyr	proteinkinasefamily	FYN	HUMAN	P06241	FYN	MOUSE	P39688	FYN	SRC	Fyn	Fyn/FYN	FYN
14	AGC	Ser/Thrproteinkinasefamily	ARBK1	HUMAN	P25098	ARBK1	MOUSE	Q99MK8	GRK2	BARK1	BARK1/GRK2	GRK2	GRK2
15	AGC	Ser/Thrproteinkinasefamily	ARBK2	HUMAN	P35626	ARBK2	MOUSE	Q3UYH7	GRK3	BARK2	BARK2/GRK3	GRK3	GRK3
216	CMGC	Ser/Thrproteinkinasefamily	GSK3A	HUMAN	P49840	GSK3A	MOUSE	Q2NL51	GSK3A	GSK	GSK3[alpha]	GSK3A	GSK3A
217	CMGC	Ser/Thrproteinkinasefamily	GSK3B	HUMAN	P49841	GSK3B	MOUSE	Q9WV60	GSK3B	GSK	GSK3[beta]	GSK3B	GSK3B
219	CMGC	Ser/Thrproteinkinasefamily	HIPK2	HUMAN	Q9H2X6	HIPK2	MOUSE	Q9QZR5	HIPK2	DYRK	HIPK2	HIPK2	HIPK2
428	Tyr	proteinkinasefamily	IGF1R	HUMAN	P08069	IGF1R	MOUSE	Q60751	IGF1R	INSR	IGF1R	IGF1R	IGF1R
507	Other	Other	IKKB	HUMAN	O14920	IKKB	MOUSE	O88351	IKBKB	IKK	IKK[beta]	IKKB/IKBKB	IKBKB
508	Other	Other	IKKE	HUMAN	Q14164	IKKE	MOUSE	Q9R0T8	IKBKE	IKK	IKK[epsilon]	IKKE/IKBKE	IKBKE
429	Tyr	proteinkinasefamily	INSR	HUMAN	P06213	INSR	MOUSE	P15208	INSR	INSR	InSR	INSR	INSR
358	TKL	Ser/Thrproteinkinasefamily	IRAK1	HUMAN	P51617	IRAK1	MOUSE	Q62406	IRAK1	IRAK	IRAK1	IRAK1	IRAK1
361	TKL	Ser/Thrproteinkinasefamily	IRAK4	HUMAN	Q9NWZ3	IRAK4	MOUSE	Q8R4K2	IRAK4	IRAK	IRAK4	IRAK4	IRAK4
431	Tyr	proteinkinasefamily	ITK	HUMAN	Q08881	ITK	MOUSE	Q03526	ITK	TEC	ITK	ITK	ITK
432	Tyr	proteinkinasefamily	JAK1	HUMAN	P23458	JAK1	MOUSE	P52332	JAK1	JAK	JAK1~b	JAK1	JAK1
433	Tyr	proteinkinasefamily	JAK2	HUMAN	O60674	JAK2	MOUSE	Q62120	JAK2	JAK	JAK2	JAK2	JAK2
434	Tyr	proteinkinasefamily	JAK3	HUMAN	P52333	JAK3	MOUSE	Q62137	JAK3	JAK	JAK3	JAK3	JAK3
