Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
CaMK4	3.06721585928054	1	UKA	1	1	CAMK4	CAMK1
CaMK4	3.06721585928054	1	UKA	1	1	CAMKK1	CAMKK
p70S6K[beta]	2.95333179207263	2	UKA	0.9878048780487805	1	RPS6KB2	RSK
SGK2	2.6990698236981	4	UKA	0.9634146341463414	1	SGK3	SGK
SGK2	2.6990698236981	4	UKA	0.9634146341463414	1	SGK2	SGK
PKG2	2.70096453523026	3	UKA	0.975609756097561	1	PRKG2	PKG
PRKY	2.54211586601556	6	UKA	0.9390243902439024	1	PRKY	PKA
PKG1	2.55580429138346	5	UKA	0.9512195121951219	1	PRKG1	PKG
IKK[alpha]	2.28356118821782	7	UKA	0.926829268292683	1	CHUK	IKK
PFTAIRE1	2.27819070752641	8	UKA	0.9146341463414634	1	CDK14	CDK
DAPK3	2.22163165664413	9	UKA	0.9024390243902439	1	DAPK3	DAPK
CK1[epsilon]	2.21339052735134	10	UKA	0.8902439024390244	1	CSNK1E	CK1
ATR	2.16600713896194	13	UKA	0.8536585365853658	1	ATR	ATR
PKA[alpha]	2.18149676446709	11	UKA	0.8780487804878049	1	NA	NA
CaMK2[alpha]	2.17626846662807	12	UKA	0.8658536585365854	1	CAMK2A	CAMK2
IKK[epsilon]	2.08229973940225	15	UKA	0.8292682926829268	1	IKBKE	IKK
CHK2	2.04907054353719	16	UKA	0.8170731707317073	1	CHEK2	NA
TBK1	2.02797086887074	17	UKA	0.8048780487804879	1	TBK1	IKK
ANP[alpha]	2.01990968224383	18	UKA	0.7926829268292683	1	NPR1	HAL
mTOR/FRAP	2.15465561891767	14	UKA	0.8414634146341463	1	MTOR	MTOR
CK1[alpha]	1.98079739716231	19	UKA	0.7804878048780488	1	CSNK1A1	CK1
CK2[alpha]1	1.96201394011934	21	UKA	0.7560975609756098	1	CSNK2A1	CK2
DCAMKL1	1.97174189082315	20	UKA	0.7682926829268293	1	DCLK1	NA
p70S6K	1.95584135104621	22	UKA	0.7439024390243902	2	RPS6KB1	RSK
AurA/Aur2	1.90913603034315	24	UKA	0.7195121951219512	2	AURKA	AUR
DAPK2	1.84947038016294	30	UKA	0.6463414634146342	2	DAPK2	DAPK
DAPK2	1.84947038016294	30	UKA	0.6463414634146342	2	STK17B	DAPK
PRKX	1.95086763992282	23	UKA	0.7317073170731707	2	PRKX	PKA
PFTAIRE2	1.88319902201932	27	UKA	0.6829268292682927	2	CDK15	CDK
CDK4	1.85723522536128	29	UKA	0.6585365853658537	2	CDK4	CDK
MAPKAPK2	1.87283305818635	28	UKA	0.6707317073170732	2	MAPKAPK2	MAPKAPK
PKC[alpha]	1.82935664462867	31	UKA	0.6341463414634146	2	PRKCA	PKCA
MAPKAPK3	1.88913016307019	25	UKA	0.7073170731707317	2	MAPKAPK3	MAPKAPK
CHK1	1.82804097888462	32	UKA	0.6219512195121951	2	CHEK1	NA
PKC[delta]	1.8839457032726	26	UKA	0.6951219512195121	2	PRKCD	PKCD
PKD1	1.80046201226491	34	UKA	0.5975609756097561	2	PRKD1	PKD
PKC[gamma]	1.78747603353282	36	UKA	0.573170731707317	2	PRKCG	PKCA
HGK/ZC1	1.82774266880588	33	UKA	0.6097560975609756	2	NA	NA
Pim2	1.79406193885331	35	UKA	0.5853658536585366	2	PIM2	PIM
AurB/Aur1	1.74794882718294	40	UKA	0.524390243902439	2	AURKB	AUR
PKC[epsilon]	1.73640329064184	41	UKA	0.5121951219512195	2	PRKCE	PKCH
p38[delta]	1.76828535627033	38	UKA	0.5487804878048781	2	MAPK13	p38
RSK3	1.70222208468354	44	UKA	0.47560975609756095	3	RPS6KA2	RSK
AMPK[alpha]1	1.71090993667378	43	UKA	0.4878048780487805	3	PRKAA1	AMPK
PKC[zeta]	1.72175537307831	42	UKA	0.5	2	PRKCZ	PKCI
MAPK14	1.78197306241319	37	UKA	0.5609756097560976	2	MAPK14	p38
Akt2/PKB[beta]	1.66447607167563	49	UKA	0.4146341463414634	3	AKT2	AKT
Pim3	1.68828380438226	45	UKA	0.4634146341463415	3	PIM3	PIM
MSK1	1.67989218093761	47	UKA	0.43902439024390244	3	RPS6KA5	RSK
MSK1	1.67989218093761	47	UKA	0.43902439024390244	3	SIK1	QIK
CDK10	1.65900366490817	52	UKA	0.3780487804878049	3	CDK10	CDK
PKC[iota]	1.65993549590572	51	UKA	0.3902439024390244	3	PRKCI	PKCI
RSK1/p90RSK	1.66150701014429	50	UKA	0.4024390243902439	3	RPS6KA1	RSK
CDK3	1.65159194838655	54	UKA	0.35365853658536583	3	CDK3	CDK
PKC[eta]	1.76189281601861	39	UKA	0.5365853658536586	2	PRKCH	PKCH
GSK3[beta]	1.6743739497382	48	UKA	0.4268292682926829	3	GSK3B	GSK
RSK2	1.65761091874267	53	UKA	0.36585365853658536	3	RPS6KA3	RSK
p38[beta]	1.6803514981944	46	UKA	0.45121951219512196	3	MAPK11	p38
PKN1/PRK1	1.64084543998397	55	UKA	0.34146341463414637	3	NA	NA
