Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P48729	CK1[alpha]	1.48215485608615	0.0846478405487488	1.5668026966349	1.57472669538937	0.104496743913395	0.111282065915637	0.0117389400771804	7
P68400	CK2[alpha]1	1.4502233094763	0.0964346165086223	1.54665792598492	1.56760801522008	0.147713444766365	0.147713444766365	0	3
P23443	p70S6K	1.75689199709056	0.0880187348071547	1.84491073189772	1.55483186667243	0.0888821059130369	0.0888940277596814	0.0187193017217477	13.3333333333333
Q8NI60	ADCK3	1.10031295388257	0.0779331084666868	1.17824606234926	1.40834559857537	0.0916497703223704	0.103728920450822	0.0248335377003465	5.33333333333333
P42345	mTOR/FRAP	1.1446199386415	0.0964857691583876	1.24110570779988	1.40256810264388	0.108891838628565	0.124535180223104	0.0234650123918078	4.33333333333333
O14965	AurA/Aur2	1.22771716360997	0.093380973784284	1.32109813739426	1.3799889398413	0.131589230099115	0.137711651850409	0.0183672652538829	3.11111111111111
Q9UQM7	CaMK2[alpha]	1.04780027013455	0.112834585169754	1.16063485530431	1.17787116588242	0.104428667953078	0.104428667953078	0	4
P11802	CDK4	1.02227639471115	0.0990869322623309	1.12136332697348	1.12136332697348	0.11573344020384	0.11573344020384	NA	3
O43293	DAPK3	0.906578314837765	0.0990869322623309	1.0056652471001	1.0056652471001	0.102441479495592	0.102441479495592	NA	3
P11309	Pim1	0.586517294272487	0.0232302468837708	0.609747541156257	0.913519153298958	0.0336485926819978	0.0394577348981899	0.00805039622155333	44.5555555555556
P49674	CK1[epsilon]	0.818156412055227	0.0788339493622613	0.896990361417489	0.896990361417489	0.0945500876782493	0.0945500876782493	NA	3
O76039	CDKL5	0.779891911959945	0.0921075573611403	0.871999469321085	0.871999469321085	0.084314390760559	0.084314390760559	0	4
P06493	CDC2/CDK1	0.751642317441171	0.0973751343512493	0.849017451792421	0.84521097126125	0.0862434895584087	0.087690313656796	0.00180450669169778	3.42857142857143
Q13535	ATR	0.718416552607252	0.081457410695784	0.799873963303037	0.803818286103025	0.0682505462653344	0.0681565713718624	0.00028192468041587	5.88888888888889
P50613	CDK7	0.567045741923863	0.0544474248787645	0.621493166802627	0.754862566749388	0.0595180857273262	0.0728653076402066	0.0207912785503511	4.55555555555556
Q9HBY8	SGK2	0.704392697597025	0.0539506668756755	0.758343364472701	0.734013045205512	0.0549498939822639	0.054694358953088	0.0107422217371378	13.8888888888889
O96017	CHK2	0.62965883000234	0.0401401365401027	0.669798966542443	0.640908575799604	0.0487413453372197	0.0466563275601392	0.0078020848356802	15.4444444444444
O14920	IKK[beta]	0.512102427079382	0.0586773594670541	0.570779786546436	0.631019913410385	0.065180703167799	0.0726436999917597	0.0166877682142412	3.2
P16066	ANP[alpha]	0.58170653751224	0.0428130889834031	0.624519626495643	0.613697269302485	0.044980418079997	0.0437553630191622	0.00312985980975672	17.4444444444444
Q9UIK4	DAPK2	0.548602572692839	0.0509138710252379	0.599516443718077	0.601827271848913	0.0694373928812482	0.0694373928812482	0	3
Q16644	MAPKAPK3	0.503988390950331	0.0398689196495788	0.54385731059991	0.583609158941606	0.039600373417051	0.0398889239872488	0.0107426146690612	23.1111111111111
P04049	RAF1	0.342278319189379	0.0196967882221442	0.361975107411523	0.54728152275959	-0.0447978522540036	-0.071229885883332	0.0313445360470667	3.44444444444444
P51817	PRKX	0.568001868802045	0.0281000423629254	0.596101911164971	0.476485045236884	0.0406548206278509	0.038594023225045	0.0109840839762135	27.5555555555556
P49137	MAPKAPK2	0.46707397542126	0.0370492436738816	0.504123219095142	0.449919699311068	0.0388817809657028	0.0373619855105907	0.00658348490765639	19.8888888888889
Q05513	PKC[zeta]	0.329717150786018	0.0291525284132024	0.358869679199221	0.435434533313369	0.0388235388559171	0.0478918687840227	0.0139448110619989	5.22222222222222
O94921	PFTAIRE1	0.376773477228947	0.0416204502425144	0.418393927471461	0.421680612673578	0.0527165025520955	0.0527165025520955	0	3
Q96GD4	AurB/Aur1	0.386045098081952	0.0376050085944168	0.423650106676369	0.413055055980075	0.0530268316632714	0.0530268316632714	0	3
Q13464	ROCK1	0.373367353154921	0.025028980402665	0.398396333557586	0.398396333557586	0.0515676352831022	0.0515676352831022	0	3
P31749	Akt1/PKB[alpha]	0.389717169092477	0.0269804093633689	0.416697578455845	0.386462607938537	0.0346356532297	0.033482858867252	0.00441687371095459	23.2222222222222
P17252	PKC[alpha]	0.329113834020247	0.0201062877199615	0.349220121740209	0.380526827858031	0.0323656666864224	0.0332507763074009	0.00391776477218109	22.7777777777778
O14757	CHK1	0.38269508162976	0.0496339253667295	0.43232900699649	0.348632809684077	0.0487085358536187	0.0393898429094488	0.0222827014778706	4
Q13131	AMPK[alpha]1	0.313816643662886	0.0212246577602036	0.33504130142309	0.337223286360122	0.0322107460153444	0.0309505844721282	0.00683378177461732	10
Q00526	CDK3	0.233427037646401	0.0143821245861461	0.247809162232547	0.333789129277043	0.0333128305741164	0.0478138757954041	0.0171961242571386	3.44444444444444
Q16566	CaMK4	0.267808344786093	0.0166276617988727	0.284436006584966	0.319100904264871	0.0288240438260644	0.031597641368035	0.00674547791077664	11
P45984	JNK2	0.2497259774791	0.0241868185372265	0.273912796016327	0.304912519526693	0.0298107778029709	0.0330848495492115	0.00805733607228812	6.33333333333333
O15111	IKK[alpha]	0.226773965003729	0.0331115053435007	0.25988547034723	0.300940540214304	0.0318059861803992	0.0360440497695441	0.00635709538371732	3.66666666666667
Q15139	PKD1	0.288680970047697	0.0132398120215691	0.301920782069266	0.299154424959925	-0.0362442541999927	-0.0362442541999927	0	5
P45983	JNK1	0.27376857069914	0.0255020241656425	0.299270594864782	0.293671465296769	0.0312214120740598	0.0311402180783738	0.000243581987058242	7.88888888888889
P53779	JNK3	0.275200573182706	0.0255020241656425	0.300702597348349	0.293671465296769	0.0313026060697459	0.0311402180783738	0.00032222868080553	7.77777777777778
Q14164	IKK[epsilon]	0.286336856491906	0.0164948427436603	0.302831699235567	0.279676936410848	0.0365825439770386	0.0334511501426054	0.00621366700718348	4.77777777777778
Q86V86	Pim3	0.288049870242867	0.0255020241656425	0.313551894408509	0.279314898269544	0.0302892396832675	0.0298160490546408	0.00341029784528373	40.1111111111111
P28482	ERK2	0.263493027029483	0.0285186324127225	0.292011659442205	0.269382593881148	-0.0367942437353184	-0.0365461592334702	0.0115848407759122	3.75
Q04759	PKC[theta]	0.257218641053526	0.0118975834855103	0.269116224539036	0.268930442354052	0.0279717987545669	0.0277774438391499	0.00312916722787097	16.1111111111111
